ActivityDay,Id,Calories,Total_Active_Minutes
2016-04-20,2320127002,1922,294
2016-04-20,1503960366,1786,245
2016-04-20,7086361926,2997,245
2016-04-20,5577150313,3192,216
2016-04-20,4319703577,2220,324
2016-04-20,8253242879,1931,239
2016-04-20,8877689391,3679,317
2016-04-20,8583815059,2647,194
2016-04-20,4702921684,3061,291
2016-04-20,7007744171,3096,440
2016-04-20,4388161847,3083,289
2016-04-20,1927972279,2063,0
2016-04-20,4020332650,1980,0
2016-04-20,1844505072,1349,1
2016-04-21,5577150313,4018,359
2016-04-21,1624580081,1467,186
2016-04-21,1644430081,2140,38
2016-04-21,2026352035,1370,153
2016-04-21,3977333714,1397,242
2016-04-21,4319703577,1792,34
2016-04-21,4445114986,2150,215
2016-04-21,8792009665,1720,9
2016-04-21,7086361926,2463,231
2016-04-21,8053475328,3103,276
2016-04-21,1503960366,1775,238
2016-04-21,3372868164,2124,403
2016-04-21,2320127002,1610,138
2016-04-21,2873212765,1970,383
2016-04-21,4388161847,3069,291
2016-04-21,1844505072,2062,323
2016-04-21,8877689391,3659,321
2016-04-21,8378563200,4236,298
2016-04-21,8583815059,2883,211
2016-04-21,6117666160,4900,324
2016-04-21,8253242879,2218,241
2016-04-21,4558609924,2486,459
2016-04-21,2347167796,2048,257
2016-04-21,6962181067,2179,294
2016-04-21,7007744171,2763,391
2016-04-21,4702921684,2729,189
2016-04-21,5553957443,2066,266
2016-04-21,1927972279,2064,0
2016-04-21,4020332650,1980,0
2016-04-21,6290855005,2060,0
2016-04-21,6775888955,1841,0
2016-04-21,2022484408,3158,412
2016-04-22,7007744171,2889,375
2016-04-22,7086361926,2846,270
2016-04-22,8583815059,2944,270
2016-04-22,1624580081,1470,199
2016-04-22,1644430081,2344,86
2016-04-22,1844505072,1827,220
2016-04-22,1927972279,2093,10
2016-04-22,2026352035,1399,162
2016-04-22,2320127002,1851,266
2016-04-22,3372868164,1669,206
2016-04-22,4445114986,2432,317
2016-04-22,4702921684,2241,72
2016-04-22,6117666160,2409,402
2016-04-22,6290855005,2796,302
2016-04-22,6775888955,1922,20
2016-04-22,8253242879,1651,120
2016-04-22,8877689391,3427,299
2016-04-22,8053475328,2655,180
2016-04-22,2022484408,2638,335
2016-04-22,3977333714,1481,233
2016-04-22,8378563200,4044,284
2016-04-22,5553957443,2105,311
2016-04-22,4319703577,1886,196
2016-04-22,4388161847,3544,322
2016-04-22,4558609924,2094,318
2016-04-22,1503960366,1827,223
2016-04-22,2347167796,1946,242
2016-04-22,5577150313,3329,292
2016-04-22,6962181067,2086,303
2016-04-22,4020332650,1980,0
2016-04-22,8792009665,2419,216
2016-04-22,2873212765,2241,412
2016-04-23,3977333714,1638,344
2016-04-23,4702921684,3691,483
2016-04-23,8583815059,3012,289
2016-04-23,8792009665,2748,285
2016-04-23,1624580081,1562,227
2016-04-23,1844505072,1645,139
2016-04-23,1927972279,2499,145
2016-04-23,2022484408,2069,249
2016-04-23,2026352035,1916,432
2016-04-23,2320127002,1804,242
2016-04-23,4319703577,1945,233
2016-04-23,4445114986,2149,201
2016-04-23,5553957443,1776,272
2016-04-23,6117666160,2651,512
2016-04-23,7086361926,1965,90
2016-04-23,3372868164,1995,325
2016-04-23,2873212765,2021,363
2016-04-23,4388161847,3306,278
2016-04-23,4558609924,2085,318
2016-04-23,8877689391,3891,408
2016-04-23,8378563200,2908,165
2016-04-23,8053475328,3554,362
2016-04-23,1644430081,2677,175
2016-04-23,1503960366,1949,324
2016-04-23,5577150313,3152,271
2016-04-23,7007744171,2284,250
2016-04-23,8253242879,2132,247
2016-04-23,2347167796,2629,427
2016-04-23,6962181067,2571,446
2016-04-23,4020332650,1980,0
2016-04-23,6290855005,2664,33
2016-04-23,6775888955,1841,0
2016-04-24,5577150313,4392,416
2016-04-24,8583815059,2889,252
2016-04-24,1644430081,2413,89
2016-04-24,2026352035,1401,164
2016-04-24,2320127002,1725,204
2016-04-24,2347167796,2187,360
2016-04-24,4445114986,2247,244
2016-04-24,4558609924,2173,395
2016-04-24,5553957443,1507,104
2016-04-24,6117666160,2305,362
2016-04-24,6290855005,2703,258
2016-04-24,6962181067,1705,199
2016-04-24,7007744171,2667,419
2016-04-24,7086361926,2049,125
2016-04-24,8378563200,2741,135
2016-04-24,2873212765,1898,237
2016-04-24,8877689391,3455,292
2016-04-24,8253242879,1976,127
2016-04-24,1503960366,1788,282
2016-04-24,4319703577,1880,197
2016-04-24,1927972279,2324,82
2016-04-24,3372868164,1921,313
2016-04-24,4388161847,2885,261
2016-04-24,8792009665,1799,30
2016-04-24,1624580081,1617,219
2016-04-24,6775888955,2053,40
2016-04-24,2022484408,2529,279
2016-04-24,8053475328,3577,344
2016-04-24,3977333714,1655,254
2016-04-24,4702921684,3538,391
2016-04-24,1844505072,1347,0
2016-04-24,4020332650,1980,0
2016-04-25,8253242879,1909,179
2016-04-25,1624580081,1492,202
2016-04-25,1927972279,2100,12
2016-04-25,2026352035,1576,260
2016-04-25,3372868164,2010,416
2016-04-25,4445114986,2070,179
2016-04-25,6290855005,2771,260
2016-04-25,2320127002,1654,160
2016-04-25,2022484408,2470,269
2016-04-25,4319703577,2314,398
2016-04-25,3977333714,1570,192
2016-04-25,8053475328,3403,336
2016-04-25,4558609924,2225,368
2016-04-25,2347167796,2095,303
2016-04-25,6775888955,2484,138
2016-04-25,1503960366,2013,303
2016-04-25,4702921684,3064,291
2016-04-25,8378563200,4005,274
2016-04-25,7007744171,3055,454
2016-04-25,4388161847,3288,343
2016-04-25,6962181067,2194,348
2016-04-25,5577150313,3374,313
2016-04-25,1844505072,1347,0
2016-04-25,4020332650,1980,0
2016-04-25,6117666160,1497,0
2016-04-25,8792009665,1688,0
2016-04-25,5553957443,2033,263
2016-04-25,7086361926,2752,237
2016-04-25,1644430081,2497,103
2016-04-25,2873212765,1907,359
2016-04-25,8583815059,2547,146
2016-04-25,8877689391,3802,339
2016-04-26,8583815059,3093,306
2016-04-26,1624580081,1402,140
2016-04-26,2026352035,1595,288
2016-04-26,2320127002,1632,147
2016-04-26,2347167796,1861,227
2016-04-26,8792009665,1928,80
2016-04-26,4445114986,2291,210
2016-04-26,3372868164,2057,357
2016-04-26,8877689391,2860,283
2016-04-26,2873212765,1882,316
2016-04-26,8053475328,2846,258
2016-04-26,6117666160,2450,359
2016-04-26,6962181067,2012,297
2016-04-26,8253242879,1813,141
2016-04-26,5553957443,2093,296
2016-04-26,8378563200,3763,269
2016-04-26,4319703577,2236,317
2016-04-26,7007744171,2939,462
2016-04-26,1503960366,1970,333
2016-04-26,4388161847,2929,261
2016-04-26,6775888955,2584,119
2016-04-26,5577150313,3088,251
2016-04-26,7086361926,2781,235
2016-04-26,1644430081,3123,275
2016-04-26,4558609924,2223,336
2016-04-26,3977333714,1551,272
2016-04-26,1844505072,1347,0
2016-04-26,4020332650,1980,0
2016-04-26,6290855005,2060,0
2016-04-26,2022484408,2793,354
2016-04-26,1927972279,2638,192
2016-04-26,4702921684,2784,225
2016-04-27,4319703577,2324,353
2016-04-27,4388161847,3074,300
2016-04-27,1644430081,2489,118
2016-04-27,2026352035,1593,286
2016-04-27,2320127002,1481,82
2016-04-27,2873212765,1966,243
2016-04-27,6117666160,2576,458
2016-04-27,6290855005,2743,287
2016-04-27,8792009665,2067,112
2016-04-27,4445114986,2361,227
2016-04-27,8378563200,3061,200
2016-04-27,8253242879,2008,154
2016-04-27,8583815059,3142,211
2016-04-27,7086361926,2693,206
2016-04-27,8877689391,3808,336
2016-04-27,2347167796,2194,330
2016-04-27,3977333714,1377,186
2016-04-27,8053475328,2852,253
2016-04-27,1503960366,2159,332
2016-04-27,7007744171,2830,399
2016-04-27,3372868164,2095,383
2016-04-27,4558609924,2098,353
2016-04-27,4702921684,2908,255
2016-04-27,5553957443,1922,238
2016-04-27,5577150313,3294,269
2016-04-27,2022484408,2463,321
2016-04-27,1624580081,1670,207
2016-04-27,1844505072,1348,1
2016-04-27,1927972279,2063,0
2016-04-27,4020332650,1980,0
2016-04-27,6775888955,1841,0
2016-04-27,6962181067,2034,324
2016-04-28,1644430081,3108,283
2016-04-28,7086361926,2862,263
2016-04-28,1844505072,1992,302
2016-04-28,1927972279,2351,95
2016-04-28,2026352035,1649,331
2016-04-28,2320127002,1473,76
2016-04-28,2347167796,1854,229
2016-04-28,3372868164,1972,385
2016-04-28,4445114986,2203,236
2016-04-28,8792009665,2780,310
2016-04-28,2873212765,1835,248
2016-04-28,3977333714,1407,213
2016-04-28,4319703577,2367,380
2016-04-28,6962181067,2182,334
2016-04-28,8877689391,3060,297
2016-04-28,4388161847,2969,262
2016-04-28,4702921684,3033,255
2016-04-28,8053475328,3062,252
2016-04-28,8378563200,2884,160
2016-04-28,4558609924,2185,379
2016-04-28,5553957443,1999,227
2016-04-28,6775888955,1993,30
2016-04-28,7007744171,2836,433
2016-04-28,8253242879,1580,47
2016-04-28,2022484408,2296,317
2016-04-28,1503960366,1898,265
2016-04-28,8583815059,2757,231
2016-04-28,5577150313,3580,291
2016-04-28,4020332650,1980,0
2016-04-28,6117666160,1879,141
2016-04-28,1624580081,1401,120
2016-04-28,6290855005,2687,255
2016-04-29,8583815059,3513,371
2016-04-29,1624580081,1404,150
2016-04-29,1644430081,2498,120
2016-04-29,1844505072,1856,247
2016-04-29,2026352035,1692,352
2016-04-29,2320127002,1410,45
2016-04-29,2347167796,403,4
2016-04-29,3372868164,2044,402
2016-04-29,4445114986,2196,226
2016-04-29,6117666160,2560,461
2016-04-29,8877689391,2698,233
2016-04-29,8053475328,2794,225
2016-04-29,1503960366,1837,271
2016-04-29,8253242879,1854,166
2016-04-29,8792009665,3101,400
2016-04-29,5553957443,2169,331
2016-04-29,6962181067,2254,396
2016-04-29,4388161847,2979,265
2016-04-29,4319703577,2175,313
2016-04-29,4702921684,3165,298
2016-04-29,4558609924,1918,241
2016-04-29,3977333714,1545,218
2016-04-29,5577150313,3544,298
2016-04-29,7007744171,3180,479
2016-04-29,1927972279,2063,0
2016-04-29,4020332650,1980,0
2016-04-29,6290855005,2060,0
2016-04-29,6775888955,1841,0
2016-04-29,2022484408,2611,342
2016-04-29,2873212765,1780,249
2016-04-29,7086361926,2616,242
2016-04-29,8378563200,2982,182
2016-04-30,1644430081,3846,482
2016-04-30,3977333714,1650,289
2016-04-30,4388161847,3283,357
2016-04-30,5577150313,4501,415
2016-04-30,1844505072,1763,184
2016-04-30,2026352035,1506,233
2016-04-30,2320127002,1779,234
2016-04-30,4445114986,2363,290
2016-04-30,5553957443,1463,84
2016-04-30,6117666160,2275,343
2016-04-30,6290855005,2843,324
2016-04-30,7007744171,2051,200
2016-04-30,8378563200,2660,121
2016-04-30,8053475328,2408,159
2016-04-30,3372868164,1946,321
2016-04-30,8877689391,4398,351
2016-04-30,6962181067,2002,285
2016-04-30,7086361926,2995,367
2016-04-30,2873212765,1830,273
2016-04-30,8792009665,2896,331
2016-04-30,1624580081,1655,258
2016-04-30,2022484408,2732,397
2016-04-30,8583815059,3164,347
2016-04-30,1503960366,1947,303
2016-04-30,4702921684,3115,303
2016-04-30,4319703577,2092,240
2016-04-30,1927972279,2064,0
2016-04-30,4020332650,1980,0
2016-04-30,8253242879,0,0
2016-04-30,4558609924,2105,329
2016-04-30,6775888955,2280,96
2016-05-01,1624580081,2690,420
2016-05-01,5577150313,4546,444
2016-05-01,2026352035,1447,191
2016-05-01,2320127002,1403,40
2016-05-01,3372868164,1237,172
2016-05-01,4319703577,1593,67
2016-05-01,4558609924,1692,190
2016-05-01,5553957443,1747,237
2016-05-01,6117666160,2361,397
2016-05-01,6962181067,1740,215
2016-05-01,7007744171,2225,237
2016-05-01,8053475328,1886,51
2016-05-01,8792009665,1962,79
2016-05-01,1927972279,2411,85
2016-05-01,8583815059,2596,129
2016-05-01,1844505072,1541,82
2016-05-01,8378563200,3369,208
2016-05-01,8877689391,2786,214
2016-05-01,4388161847,2926,268
2016-05-01,7086361926,2730,303
2016-05-01,2873212765,1739,221
2016-05-01,1644430081,2696,173
2016-05-01,2022484408,2380,298
2016-05-01,6775888955,2319,93
2016-05-01,1503960366,1820,314
2016-05-01,3977333714,1501,205
2016-05-01,6290855005,3327,385
2016-05-01,4020332650,1980,0
2016-05-01,4702921684,2017,0
2016-05-01,4445114986,2246,240
2016-05-02,3977333714,1760,343
2016-05-02,6962181067,2162,370
2016-05-02,2026352035,1690,355
2016-05-02,4558609924,2066,383
2016-05-02,6117666160,2044,236
2016-05-02,6290855005,2725,268
2016-05-02,8053475328,1988,95
2016-05-02,8583815059,2894,0
2016-05-02,8792009665,2015,101
2016-05-02,8877689391,2189,105
2016-05-02,4388161847,3147,241
2016-05-02,4445114986,2336,231
2016-05-02,8378563200,3491,209
2016-05-02,1624580081,1497,179
2016-05-02,2320127002,1613,134
2016-05-02,1644430081,2580,156
2016-05-02,2873212765,1878,341
2016-05-02,1927972279,2505,118
2016-05-02,2022484408,2473,321
2016-05-02,5553957443,1996,259
2016-05-02,4020332650,2207,42
2016-05-02,4319703577,2270,355
2016-05-02,7007744171,2642,328
2016-05-02,1503960366,2004,333
2016-05-02,5577150313,3014,292
2016-05-02,7086361926,2754,231
2016-05-02,4702921684,2859,240
2016-05-02,1844505072,1348,0
2016-05-02,6775888955,1841,0
2016-05-03,1644430081,3324,325
2016-05-03,1624580081,1334,96
2016-05-03,1927972279,2195,27
2016-05-03,2026352035,1604,304
2016-05-03,4020332650,2828,174
2016-05-03,4702921684,3145,313
2016-05-03,6290855005,2671,240
2016-05-03,8583815059,3212,0
2016-05-03,8792009665,2297,156
2016-05-03,4445114986,2421,265
2016-05-03,8877689391,2817,251
2016-05-03,2873212765,1906,370
2016-05-03,5577150313,3795,317
2016-05-03,2320127002,1878,236
2016-05-03,4558609924,1953,268
2016-05-03,4388161847,3290,342
2016-05-03,8378563200,3784,286
2016-05-03,8053475328,3023,274
2016-05-03,1503960366,1990,328
2016-05-03,4319703577,2235,321
2016-05-03,5553957443,2116,302
2016-05-03,7007744171,2976,419
2016-05-03,6962181067,2072,324
2016-05-03,7086361926,2754,245
2016-05-03,3977333714,1710,346
2016-05-03,6117666160,1496,0
2016-05-03,1844505072,1742,184
2016-05-03,2022484408,2752,336
2016-05-03,6775888955,1843,1
2016-05-04,3977333714,1628,252
2016-05-04,1624580081,1368,118
2016-05-04,1644430081,2222,52
2016-05-04,1844505072,1549,87
2016-05-04,1927972279,2338,87
2016-05-04,2026352035,1658,345
2016-05-04,2320127002,1426,52
2016-05-04,2873212765,2015,420
2016-05-04,4445114986,2070,180
2016-05-04,4558609924,1842,252
2016-05-04,5553957443,1698,224
2016-05-04,6117666160,1902,156
2016-05-04,6290855005,2718,272
2016-05-04,8583815059,2516,0
2016-05-04,8792009665,2067,129
2016-05-04,8053475328,2918,220
2016-05-04,8877689391,3477,286
2016-05-04,5577150313,2755,175
2016-05-04,8378563200,3110,196
2016-05-04,7086361926,2655,192
2016-05-04,4319703577,2282,334
2016-05-04,4702921684,3004,270
2016-05-04,4388161847,3162,307
2016-05-04,1503960366,1819,261
2016-05-04,2022484408,2649,335
2016-05-04,4020332650,3879,405
2016-05-04,6775888955,1841,0
2016-05-04,7007744171,1557,0
2016-05-04,6962181067,2086,335
2016-05-05,3977333714,1618,280
2016-05-05,4388161847,2899,250
2016-05-05,1624580081,1370,117
2016-05-05,1844505072,1589,120
2016-05-05,2026352035,1926,475
2016-05-05,6117666160,2636,487
2016-05-05,6290855005,2682,239
2016-05-05,8583815059,3266,70
2016-05-05,8378563200,3783,283
2016-05-05,4702921684,3006,254
2016-05-05,4445114986,2120,193
2016-05-05,4558609924,2262,392
2016-05-05,8053475328,2950,232
2016-05-05,1644430081,2463,99
2016-05-05,7086361926,2386,187
2016-05-05,8877689391,3052,270
2016-05-05,2022484408,2609,328
2016-05-05,5577150313,3004,209
2016-05-05,6962181067,2066,341
2016-05-05,2873212765,1971,347
2016-05-05,7007744171,2933,393
2016-05-05,1503960366,1959,319
2016-05-05,5553957443,2156,314
2016-05-05,4319703577,2530,389
2016-05-05,4020332650,3429,276
2016-05-05,1927972279,2063,0
2016-05-05,6775888955,1841,0
2016-05-05,8792009665,1688,0
2016-05-05,2320127002,1780,234
2016-05-06,3977333714,1590,252
2016-05-06,4388161847,3425,340
2016-05-06,1624580081,1341,102
2016-05-06,1844505072,1351,2
2016-05-06,1927972279,2383,108
2016-05-06,2026352035,1736,383
2016-05-06,2320127002,1742,204
2016-05-06,4020332650,2704,177
2016-05-06,4445114986,2211,229
2016-05-06,4558609924,1722,202
2016-05-06,6290855005,2806,305
2016-05-06,2873212765,1910,375
2016-05-06,8378563200,3644,245
2016-05-06,1503960366,1896,319
2016-05-06,1644430081,3328,386
2016-05-06,5553957443,1916,259
2016-05-06,4319703577,2266,331
2016-05-06,7007744171,2553,304
2016-05-06,8053475328,2859,195
2016-05-06,4702921684,2859,224
2016-05-06,5577150313,2643,136
2016-05-06,2022484408,2498,336
2016-05-06,8877689391,4015,345
2016-05-06,8583815059,2683,190
2016-05-06,6775888955,2496,122
2016-05-06,7086361926,2924,273
2016-05-06,8792009665,1688,0
2016-05-06,6962181067,1850,299
2016-05-06,6117666160,1838,133
2016-05-07,3977333714,1574,294
2016-05-07,4388161847,4022,436
2016-05-07,1624580081,1474,182
2016-05-07,1927972279,2229,48
2016-05-07,2320127002,1972,319
2016-05-07,4020332650,2975,184
2016-05-07,5553957443,1494,96
2016-05-07,6117666160,2469,412
2016-05-07,6290855005,2613,227
2016-05-07,6962181067,1947,328
2016-05-07,8378563200,2799,158
2016-05-07,8583815059,2810,250
2016-05-07,2022484408,1995,171
2016-05-07,4445114986,2123,138
2016-05-07,6775888955,1032,56
2016-05-07,2873212765,1897,138
2016-05-07,4558609924,1973,272
2016-05-07,1644430081,3404,301
2016-05-07,8053475328,3331,289
2016-05-07,4319703577,2158,310
2016-05-07,8877689391,4142,404
2016-05-07,7086361926,2739,271
2016-05-07,1503960366,1821,258
2016-05-07,4702921684,3683,490
2016-05-07,1844505072,1347,0
2016-05-07,5577150313,1819,0
2016-05-07,7007744171,120,0
2016-05-07,8792009665,1688,0
2016-05-07,2026352035,1491,229
2016-05-08,3977333714,1633,296
2016-05-08,4702921684,3287,326
2016-05-08,1624580081,1427,152
2016-05-08,1644430081,2987,295
2016-05-08,2022484408,1848,135
